,SMILE,Compound
149,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(C5=NN=NN5C)N=C4)C=C3,29d
150,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(CC#N)N=C4)C=C3,29e
151,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(C5(CC5)N)N=C4)C=C3,29f
152,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(C#CCO)N=C4)C=C3,29g
153,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(C(OC)=O)N=C4)C=C3,29h
154,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(N5C(OCC5)=O)N=C4)C=C3,29i
155,O=C1O[C@@H](CO)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(C(O)CO)N=C4)C=C3,30a
156,O=C1O[C@@H](CO)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(C([C@H](O)C)=O)N=C4)C=C3,30b
157,O=C1O[C@@H](CO)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(/C(C)=N/OCC)N=C4)C=C3,30c
158,O=C1O[C@@H](CO)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(C5C[C@](NCCC6)([H])[C@]6([H])C5)N=C4)C=C3,30d
159,O=C1O[C@@H](CO)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(N5C(OCC5)=O)N=C4)C=C3,30e
160,O=C1O[C@@H](CO)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(N5C(OC(CO)C5)=O)N=C4)C=C3,30f
161,O=C1O[C@@H](CO)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(N5C(O[C@H](CO)C5)=O)N=C4)C=C3,30g
162,O=C1O[C@@H](CO)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(N5C(O[C@@H](CO)C5)=O)N=C4)C=C3,30h
163,O=C1O[C@@H](CO)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(C5OC(N(C)C5)=O)N=C4)C=C3,30i
164,O=C1O[C@@H](CO)[C@H]2N1C3=C(OC2)C=C(C4=CC=C([C@H]5OC(N(C)C5)=O)N=C4)C=C3,30j
165,O=C1O[C@@H](COP([O-])([O-])=O)[C@H]2N1C3=C(OC2)C=C(C4=CC=C([C@H]5OC(N(C)C5)=O)N=C4)C=C3.[Na+].[Na+],31
166,O=S1(CCC(C2=CC=C(N3C[C@H](CN4C=CN=N4)OC3=O)C=C2F)=CC1)=O,32
167,NC([C@H](OC1=O)CN1C2=CC=C(C3=CC[S@+]([O-])CC3)C(F)=C2)=O,33
168,FC1=CC(N2[C@@H]3[C@H](CN4C=CN=N4)OC2=O)=C(OC3)C=C1C5=CC=C(C#N)N=C5,34a
169,FC1=CC(N2[C@@H]3[C@H](CN4C=CN=N4)OC2=O)=C(OC3)C=C1C5=CC=C(N6N=NN=C6)N=C5,34b
170,FC1=CC(N2[C@@H]3[C@H](CN4C=CN=N4)OC2=O)=C(OC3)C=C1C5=CC=C(N6C(OC(CO)C6)=O)N=C5,34c
171,O=C1O[C@@H](CN2C=CN=N2)[C@H]3N1C4=CC(F)=C(C5=CN=C(C6=NOC(C)=N6)C=C5)C=C4OC3,34d
172,FC1=CC(N2[C@@H]3[C@H](CN4C=CN=N4)OC2=O)=C(OC3)C=C1C5=CC=C(C(O)C)N=C5,34e
173,FC1=CC(N2[C@@H]3[C@H](CN4C=CN=N4)OC2=O)=C(OC3)C=C1C5=CC=C(C(C)=O)N=C5,34f
174,FC1=CC(N2[C@@H]3[C@H](CN4C=CN=N4)OC2=O)=C(OC3)C=C1C5=CC=C(CN6N=CN=C6)N=C5,34g
175,FC1=CC(N2[C@@H]3[C@H](CN4C=CN=N4)OC2=O)=C(OC3)C=C1C5=CC=C(CN6N=CN=N6)N=C5,34h
176,NC([C@H](OC1=O)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(C#N)N=C4)C(F)=C3)=O,35a
177,NC([C@H](OC1=O)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(C5=NOC(C)=N5)N=C4)C(F)=C3)=O,35b
178,NC([C@H](OC1=O)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(N5CCOC5=O)N=C4)C(F)=C3)=O,35c
179,NC([C@H](OC1=O)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(CN5N=CN=C5)N=C4)C(F)=C3)=O,35d
180,OC[C@H](SC1=O)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(C#N)N=C4)C=C3,37
181,OC[C@H](NC1=O)[C@H]2N1C3=C(OC2)C=C(C4=CC=C(C#N)N=C4)C=C3,38
182,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(SC2)C=C(C4=CC=C(N5C(OCC5)=O)N=C4)C=C3,39
